2015 Geography Name;tate;2010 Census Total Population;2010 Census Urban Population;2010 Census Rural Population
Meigs County;Ohio;23770;4446;19324
Mercer County;Ohio;40814;15771;25043
Miami County;Ohio;102506;70936;31570
Monroe County;Ohio;14642;344;14298
Montgomery County;Ohio;535153;511974;23179
Morgan County;Ohio;15054;2787;12267
Morrow County;Ohio;34827;3887;30940
Muskingum County;Ohio;86074;45591;40483
Noble County;Ohio;14645;5488;9157
Ottawa County;Ohio;41428;20943;20485
Paulding County;Ohio;19614;3550;16064
Perry County;Ohio;36058;8927;27131
Pickaway County;Ohio;55698;27924;27774
Pike County;Ohio;28709;7396;21313
Portage County;Ohio;161419;108452;52967
Preble County;Ohio;42270;13009;29261
Putnam County;Ohio;34499;5292;29207
Richland County;Ohio;124475;84575;39900
Ross County;Ohio;78064;32263;45801
Sandusky County;Ohio;60944;34041;26903
Scioto County;Ohio;79499;36349;43150
Seneca County;Ohio;56745;29786;26959
Shelby County;Ohio;49423;24162;25261
Stark County;Ohio;375586;324769;50817
Summit County;Ohio;541781;520778;21003
Trumbull County;Ohio;210307;152953;57359
Tuscarawas County;Ohio;92582;54086;38496
Union County;Ohio;52300;26175;26125
Van Wert County;Ohio;28744;14163;14581
Vinton County;Ohio;13435;0;13435
Warren County;Ohio;212693;175969;36724
Washington County;Ohio;61778;26835;34943
Wayne County;Ohio;114520;56114;58406
Williams County;Ohio;37642;13691;23951
Wood County;Ohio;125488;88411;37077
Wyandot County;Ohio;22615;9630;12985
Adair County;Oklahoma;22683;3789;18894
Alfalfa County;Oklahoma;5642;0;5642
Atoka County;Oklahoma;14182;0;14182
Beaver County;Oklahoma;5636;0;5636
Beckham County;Oklahoma;22119;14896;7223
Blaine County;Oklahoma;11943;5084;6859
Bryan County;Oklahoma;42416;16402;26014
Caddo County;Oklahoma;29600;5929;23671
Canadian County;Oklahoma;115541;89535;26006
Carter County;Oklahoma;47557;20888;26669
Cherokee County;Oklahoma;46987;18772;28215
Choctaw County;Oklahoma;15205;5028;10177
Cimarron County;Oklahoma;2475;0;2475
Cleveland County;Oklahoma;255755;212574;43181
Coal County;Oklahoma;5925;0;5925
Comanche County;Oklahoma;124098;97057;27041
Cotton County;Oklahoma;6193;2506;3687
Craig County;Oklahoma;15029;6002;9027
Creek County;Oklahoma;69967;32224;37743
Custer County;Oklahoma;27469;19139;8330
Delaware County;Oklahoma;41487;7834;33653
Dewey County;Oklahoma;4810;0;4810
Ellis County;Oklahoma;4151;0;4151
Garfield County;Oklahoma;60580;47609;12971
Garvin County;Oklahoma;27576;8631;18945
Grady County;Oklahoma;52431;18935;33496
Grant County;Oklahoma;4527;0;4527
Greer County;Oklahoma;6239;2954;3285
Harmon County;Oklahoma;2922;0;2922
Harper County;Oklahoma;3685;0;3685
Haskell County;Oklahoma;12769;2843;9926
Hughes County;Oklahoma;14003;5768;8235
Jackson County;Oklahoma;26446;19900;6546
Jefferson County;Oklahoma;6472;0;6472
Johnston County;Oklahoma;10957;0;10957
Kay County;Oklahoma;46562;35166;11396
Kingfisher County;Oklahoma;15034;4144;10890
Kiowa County;Oklahoma;9446;3622;5824
Latimer County;Oklahoma;11154;2979;8175
Le Flore County;Oklahoma;50384;13656;36728
Lincoln County;Oklahoma;34273;2704;31569
Logan County;Oklahoma;41848;18675;23173
Love County;Oklahoma;9423;0;9423
McClain County;Oklahoma;34506;7879;26627
McCurtain County;Oklahoma;33151;10193;22958
McIntosh County;Oklahoma;20252;2572;17680
Major County;Oklahoma;7527;0;7527
Marshall County;Oklahoma;15840;4419;11421
Mayes County;Oklahoma;41259;9325;31934
Murray County;Oklahoma;13488;7324;6164
Muskogee County;Oklahoma;70990;41801;29189
Noble County;Oklahoma;11561;5052;6509
Nowata County;Oklahoma;10536;4432;6104
Okfuskee County;Oklahoma;12191;3152;9039
Oklahoma County;Oklahoma;718633;673536;45097
Okmulgee County;Oklahoma;40069;20615;19454
Osage County;Oklahoma;47472;19239;28233
Ottawa County;Oklahoma;31848;16144;15704
Pawnee County;Oklahoma;16577;3128;13449
Payne County;Oklahoma;77350;51257;26093
Pittsburg County;Oklahoma;45837;22040;23797
Pontotoc County;Oklahoma;37492;17400;20092
Pottawatomie County;Oklahoma;69442;34255;35187
Pushmataha County;Oklahoma;11572;0;11572
Roger Mills County;Oklahoma;3647;0;3647
Rogers County;Oklahoma;86905;43196;43709
Seminole County;Oklahoma;25482;9002;16480
Sequoyah County;Oklahoma;42391;14148;28243
Stephens County;Oklahoma;45048;25531;19517
Texas County;Oklahoma;20640;11338;9302
Tillman County;Oklahoma;7992;3899;4093
Tulsa County;Oklahoma;603403;574564;28839
Wagoner County;Oklahoma;73085;45701;27384
Washington County;Oklahoma;50976;38802;12174
Washita County;Oklahoma;11629;2876;8753
Woods County;Oklahoma;8878;5620;3258
Woodward County;Oklahoma;20081;11344;8737
Baker County;Oregon;16134;9518;6616
Benton County;Oregon;85579;69521;16058
Clackamas County;Oregon;375992;308018;67974
Clatsop County;Oregon;37039;22604;14435
Columbia County;Oregon;49351;27828;21523
Coos County;Oregon;63043;38864;24179
Crook County;Oregon;20978;10905;10073
Curry County;Oregon;22364;13702;8662
Deschutes County;Oregon;157733;114130;43603
Douglas County;Oregon;107667;63332;44335
Gilliam County;Oregon;1871;0;1871
Grant County;Oregon;7445;0;7445
Harney County;Oregon;7422;4131;3291
Hood River County;Oregon;22346;10687;11659
Jackson County;Oregon;203206;162458;40748
Jefferson County;Oregon;21720;8010;13710
Josephine County;Oregon;82713;45522;37191
Klamath County;Oregon;66380;41434;24946
Lake County;Oregon;7895;2895;5000
Lane County;Oregon;351715;290084;61631
Lincoln County;Oregon;46034;28730;17304
Linn County;Oregon;116672;79759;36913
Malheur County;Oregon;31313;16152;15161
Marion County;Oregon;315335;274046;41289
Morrow County;Oregon;11173;6048;5125
Multnomah County;Oregon;735334;725464;9870
Polk County;Oregon;75403;60378;15025
Sherman County;Oregon;1765;0;1765
Tillamook County;Oregon;25250;7675;17575
Umatilla County;Oregon;75889;53831;22058
Union County;Oregon;25748;14909;10839
Wallowa County;Oregon;7008;0;7008
Wasco County;Oregon;25213;16876;8337
Washington County;Oregon;529710;500099;29611
Wheeler County;Oregon;1441;0;1441
Yamhill County;Oregon;99193;76772;22421
Adams County;Pennsylvania;101407;46976;54431
Allegheny County;Pennsylvania;1223348;1192932;30416
Armstrong County;Pennsylvania;68941;22415;46526
Beaver County;Pennsylvania;170539;126493;44046
Bedford County;Pennsylvania;49762;8064;41698
Berks County;Pennsylvania;411442;313782;97660
Blair County;Pennsylvania;127089;97311;29778
Bradford County;Pennsylvania;62622;17425;45197
Bucks County;Pennsylvania;625249;570042;55207
Butler County;Pennsylvania;183862;106706;77156
Cambria County;Pennsylvania;143679;97693;45986
Cameron County;Pennsylvania;5085;2677;2408
Carbon County;Pennsylvania;65249;34476;30773
Centre County;Pennsylvania;153990;104378;49612
Chester County;Pennsylvania;499132;432651;66235
Clarion County;Pennsylvania;39988;9373;30615
Clearfield County;Pennsylvania;81639;37678;43964
Clinton County;Pennsylvania;39238;21310;17928
Columbia County;Pennsylvania;67295;39804;27491
Crawford County;Pennsylvania;88765;32221;56544
Cumberland County;Pennsylvania;235406;183198;52208
Dauphin County;Pennsylvania;268100;232380;35720
Delaware County;Pennsylvania;558726;556386;2593
Elk County;Pennsylvania;31946;14160;17786
Erie County;Pennsylvania;280566;224398;56168
Fayette County;Pennsylvania;136606;71175;65431
Forest County;Pennsylvania;7716;0;7716
Franklin County;Pennsylvania;149618;89244;60374
Fulton County;Pennsylvania;14845;0;14845
Greene County;Pennsylvania;38686;12831;25855
Huntingdon County;Pennsylvania;45913;14388;31525
Indiana County;Pennsylvania;88880;35490;53390
Jefferson County;Pennsylvania;45203;17420;27780
Juniata County;Pennsylvania;24636;4372;20264
Lackawanna County;Pennsylvania;214437;179472;34965
Lancaster County;Pennsylvania;519445;409026;110419
Lawrence County;Pennsylvania;91108;54375;36733
Lebanon County;Pennsylvania;133568;98098;35470
Lehigh County;Pennsylvania;349497;321797;27700
Luzerne County;Pennsylvania;320918;256783;64135
Lycoming County;Pennsylvania;116111;73990;42121
McKean County;Pennsylvania;43450;15843;27607
Mercer County;Pennsylvania;116638;64747;51891
Mifflin County;Pennsylvania;46682;23123;23559
Monroe County;Pennsylvania;169842;104701;65141
Montgomery County;Pennsylvania;799881;776408;23466
Montour County;Pennsylvania;18267;8445;9822
Northampton County;Pennsylvania;297735;259719;38016
Northumberland County;Pennsylvania;94528;61575;32953
Perry County;Pennsylvania;45969;5287;40682
Philadelphia County;Pennsylvania;1526006;1526006;0
Pike County;Pennsylvania;57369;16774;40595
Potter County;Pennsylvania;17457;0;17457
Schuylkill County;Pennsylvania;148289;94221;54068
Snyder County;Pennsylvania;39702;13173;26529
Somerset County;Pennsylvania;77742;22699;55043
Sullivan County;Pennsylvania;6428;0;6428
Susquehanna County;Pennsylvania;43356;6924;36432
Tioga County;Pennsylvania;41981;4152;37829
Union County;Pennsylvania;44947;25703;19244
Venango County;Pennsylvania;54984;24877;30107
Warren County;Pennsylvania;41815;18799;23016
Washington County;Pennsylvania;207820;143760;64060
Wayne County;Pennsylvania;52822;6289;46533
Westmoreland County;Pennsylvania;365169;272549;92620
Wyoming County;Pennsylvania;28276;4678;23598
York County;Pennsylvania;434972;327445;107527
Bristol County;Rhode Island;49875;49305;570
Kent County;Rhode Island;166158;152888;13270
Newport County;Rhode Island;82888;72865;10023
Providence County;Rhode Island;626667;592145;34522
Washington County;Rhode Island;126979;87840;39139
Abbeville County;South Carolina;25417;5445;19972
Aiken County;South Carolina;160099;100864;59235
Allendale County;South Carolina;10419;3307;7112
Anderson County;South Carolina;187126;116157;70969
Bamberg County;South Carolina;15987;7273;8714
Barnwell County;South Carolina;22621;3949;18672
Beaufort County;South Carolina;162233;130360;31873
Berkeley County;South Carolina;177843;126351;51492
Calhoun County;South Carolina;15175;0;15175
Charleston County;South Carolina;350209;312103;38106
Cherokee County;South Carolina;55467;21556;33786
Chester County;South Carolina;33140;9351;23789
Chesterfield County;South Carolina;46734;12260;34474
Clarendon County;South Carolina;34971;4998;29973
Colleton County;South Carolina;38892;9502;29390
Darlington County;South Carolina;68681;29008;39673
Dillon County;South Carolina;32062;9777;22285
Dorchester County;South Carolina;136555;109950;26605
Edgefield County;South Carolina;26985;7202;19783
Fairfield County;South Carolina;23956;5195;18761
Florence County;South Carolina;136885;84159;52726
Georgetown County;South Carolina;60158;35182;24976
Greenville County;South Carolina;451225;394345;56880
Greenwood County;South Carolina;69661;41969;27692
Hampton County;South Carolina;21090;4540;16550
Horry County;South Carolina;269291;187492;81799
Jasper County;South Carolina;24777;8258;16519
Kershaw County;South Carolina;61572;26110;35587
Lancaster County;South Carolina;76652;38361;38291
Laurens County;South Carolina;66537;23824;42713
Lee County;South Carolina;19220;5391;13829
Lexington County;South Carolina;262391;196069;66322
McCormick County;South Carolina;10233;0;10233
Marion County;South Carolina;33062;12976;20086
Marlboro County;South Carolina;28933;13006;15927
Newberry County;South Carolina;37508;12059;25449
Oconee County;South Carolina;74273;26054;48219
Orangeburg County;South Carolina;92501;33506;58995
Pickens County;South Carolina;119224;76551;42673
Richland County;South Carolina;384504;349628;34876
Saluda County;South Carolina;19875;3870;16005
Spartanburg County;South Carolina;284307;206315;77992
Sumter County;South Carolina;107456;73107;34349
Union County;South Carolina;28961;10033;18928
Williamsburg County;South Carolina;34423;6218;28205
York County;South Carolina;226073;174178;51895
Aurora County;South Dakota;2710;0;2710
Beadle County;South Dakota;17398;12637;4761
Bennett County;South Dakota;3431;0;3431
Bon Homme County;South Dakota;7070;0;7070
Brookings County;South Dakota;31965;22482;9483
Brown County;South Dakota;36531;25977;10554
Brule County;South Dakota;5255;0;5255
Buffalo County;South Dakota;1912;0;1912
Butte County;South Dakota;10110;5240;4870
Campbell County;South Dakota;1466;0;1466
Charles Mix County;South Dakota;9129;0;9129
Clark County;South Dakota;3691;0;3691
Clay County;South Dakota;13864;10492;3372
Codington County;South Dakota;27227;21111;6116
Corson County;South Dakota;4050;0;4050
Custer County;South Dakota;8216;0;8216
Davison County;South Dakota;19504;14955;4549
Day County;South Dakota;5710;0;5710
Deuel County;South Dakota;4364;0;4364
Dewey County;South Dakota;5301;1904;3397
Douglas County;South Dakota;3002;0;3002
Edmunds County;South Dakota;4071;0;4071
Fall River County;South Dakota;7094;3550;3544
Faulk County;South Dakota;2364;0;2364
Grant County;South Dakota;7356;3283;4073
Gregory County;South Dakota;4271;0;4271
Haakon County;South Dakota;1937;0;1937
Hamlin County;South Dakota;5903;0;5903
Hand County;South Dakota;3431;0;3431
Hanson County;South Dakota;3331;0;3331
Harding County;South Dakota;1255;0;1255
Hughes County;South Dakota;17022;12720;4302
Hutchinson County;South Dakota;7343;0;7343
Hyde County;South Dakota;1420;0;1420
Jackson County;South Dakota;3031;0;3031
Jerauld County;South Dakota;2071;0;2071
Jones County;South Dakota;1006;0;1006
Kingsbury County;South Dakota;5148;0;5148
Lake County;South Dakota;11200;6174;5026
Lawrence County;South Dakota;24097;15209;8888
Lincoln County;South Dakota;44828;31709;13119
Lyman County;South Dakota;3755;0;3755
McCook County;South Dakota;5618;0;5618
McPherson County;South Dakota;2459;0;2459
Marshall County;South Dakota;4656;0;4656
Meade County;South Dakota;25456;15770;9664
Mellette County;South Dakota;2048;0;2048
Miner County;South Dakota;2389;0;2389
Minnehaha County;South Dakota;169468;146359;23109
Moody County;South Dakota;6486;0;6486
Oglala Lakota County;South Dakota;13586;2720;10866
Pennington County;South Dakota;100937;79949;20999
Perkins County;South Dakota;2982;0;2982
Potter County;South Dakota;2329;0;2329
Roberts County;South Dakota;10149;0;10149
Sanborn County;South Dakota;2355;0;2355
Spink County;South Dakota;6415;0;6415
Stanley County;South Dakota;2966;1705;1261
Sully County;South Dakota;1373;0;1373
Todd County;South Dakota;9612;0;9612
Tripp County;South Dakota;5644;2907;2737
Turner County;South Dakota;8347;0;8347
Union County;South Dakota;14399;5559;8840
Walworth County;South Dakota;5438;3457;1981
Yankton County;South Dakota;22438;14637;7801
Ziebach County;South Dakota;2801;741;2060
Anderson County;Tennessee;75129;49088;26041
Bedford County;Tennessee;45058;20005;25053
Benton County;Tennessee;16489;3552;12937
Bledsoe County;Tennessee;12876;0;12876
Blount County;Tennessee;123010;82870;40140
Bradley County;Tennessee;98963;66333;32630
Campbell County;Tennessee;40716;18313;22403
Cannon County;Tennessee;13801;2604;11197
Carroll County;Tennessee;28522;4832;23690
Carter County;Tennessee;57424;33900;23524
Cheatham County;Tennessee;39105;6663;32442
Chester County;Tennessee;17131;5954;11177
Claiborne County;Tennessee;32213;9163;23050
Clay County;Tennessee;7861;0;7861
Cocke County;Tennessee;35662;11579;24083
Coffee County;Tennessee;52796;27829;24967
Crockett County;Tennessee;14586;4758;9828
Cumberland County;Tennessee;56053;21921;34132
Davidson County;Tennessee;626681;605299;21382
Decatur County;Tennessee;11757;0;11757
DeKalb County;Tennessee;18723;4050;14673
Dickson County;Tennessee;49666;16016;33650
Dyer County;Tennessee;38335;21903;16432
Fayette County;Tennessee;38413;8050;30363
Fentress County;Tennessee;17959;0;17959
Franklin County;Tennessee;41052;12473;28579
Gibson County;Tennessee;49683;25977;23706
Giles County;Tennessee;29485;7741;21744
Grainger County;Tennessee;22657;0;22657
Greene County;Tennessee;68831;23957;44874
Grundy County;Tennessee;13703;0;13703
Hamblen County;Tennessee;62544;48864;13680
Hamilton County;Tennessee;336463;302742;33721
Hancock County;Tennessee;6819;0;6819
Hardeman County;Tennessee;27253;5394;21859
Hardin County;Tennessee;26026;8347;17679
Hawkins County;Tennessee;56833;23949;32884
Haywood County;Tennessee;18787;9879;8908
Henderson County;Tennessee;27769;6560;21209
Henry County;Tennessee;32330;10718;21612
Hickman County;Tennessee;24690;0;24690
Houston County;Tennessee;8426;0;8426
Humphreys County;Tennessee;18538;3246;15292
Jackson County;Tennessee;11638;0;11638
Jefferson County;Tennessee;51407;20826;30581
Johnson County;Tennessee;18244;2698;15546
Knox County;Tennessee;432226;385021;47205
Lake County;Tennessee;7832;0;7832
Lauderdale County;Tennessee;27815;11498;16317
Lawrence County;Tennessee;41869;10100;31769
Lewis County;Tennessee;12161;3625;8536
Lincoln County;Tennessee;33361;9178;24183
Loudon County;Tennessee;48556;28836;19720
McMinn County;Tennessee;52266;20728;31538
McNairy County;Tennessee;26075;3840;22235
Macon County;Tennessee;22248;4545;17703
Madison County;Tennessee;98294;72908;25386
Marion County;Tennessee;28237;6490;21747
Marshall County;Tennessee;30617;10464;20153
Maury County;Tennessee;80956;47284;33672
Meigs County;Tennessee;11753;0;11753
Monroe County;Tennessee;44519;10651;33868
Montgomery County;Tennessee;172331;138309;34022
Moore County;Tennessee;6362;8;6354
Morgan County;Tennessee;21987;25;21962
Obion County;Tennessee;31807;12219;19588
Overton County;Tennessee;22083;3485;18598
Perry County;Tennessee;7915;0;7915
Pickett County;Tennessee;5077;0;5077
Polk County;Tennessee;16825;0;16825
Putnam County;Tennessee;72321;47026;25295
Rhea County;Tennessee;31809;10174;21635
Roane County;Tennessee;54181;26553;27628
Robertson County;Tennessee;66283;30994;35289
Rutherford County;Tennessee;262604;217905;44699
Scott County;Tennessee;22228;4322;17906
Sequatchie County;Tennessee;14112;3697;10415
Sevier County;Tennessee;89889;38969;50920
Shelby County;Tennessee;927644;902043;25601
Smith County;Tennessee;19166;3282;15884
Stewart County;Tennessee;13324;0;13324
Sullivan County;Tennessee;156823;116737;40086
Sumner County;Tennessee;160645;115853;44792
Tipton County;Tennessee;61081;27410;33671
Trousdale County;Tennessee;7870;0;7870
Unicoi County;Tennessee;18313;10133;8180
Union County;Tennessee;19109;0;19109
Van Buren County;Tennessee;5548;0;5548
Warren County;Tennessee;39839;15386;24453
Washington County;Tennessee;122979;90486;32493
Wayne County;Tennessee;17021;0;17021
Weakley County;Tennessee;35021;11555;23466
White County;Tennessee;25841;5640;20201
Williamson County;Tennessee;183182;147670;35512
Wilson County;Tennessee;113993;70143;43850
Anderson County;Texas;58458;19254;39204
Andrews County;Texas;14786;12346;2440
Angelina County;Texas;86771;49388;37383
Aransas County;Texas;23158;16845;6313
Archer County;Texas;9054;997;8057
Armstrong County;Texas;1901;0;1901
Atascosa County;Texas;44911;17645;27266
Austin County;Texas;28417;9564;18853
Bailey County;Texas;7165;5105;2060
Bandera County;Texas;20485;0;20485
Bastrop County;Texas;74171;26811;47360
Baylor County;Texas;3726;0;3726
Bee County;Texas;31861;18168;13693
Bell County;Texas;310235;263122;47113
Bexar County;Texas;1714773;1636938;77835
Blanco County;Texas;10497;0;10497
Borden County;Texas;641;0;641
Bosque County;Texas;18212;3421;14791
Bowie County;Texas;92565;59774;32791
Brazoria County;Texas;313166;242614;70552
Brazos County;Texas;194851;171345;23506
Brewster County;Texas;9232;6013;3219
Briscoe County;Texas;1637;0;1637
Brooks County;Texas;7223;4929;2294
Brown County;Texas;38106;22711;15395
Burleson County;Texas;17187;4012;13175
Burnet County;Texas;42750;18950;23800
Caldwell County;Texas;38066;21967;16099
Calhoun County;Texas;21381;11817;9564
Callahan County;Texas;13544;3768;9776
Cameron County;Texas;406220;372013;34207
Camp County;Texas;12401;4777;7624
Carson County;Texas;6182;297;5885
Cass County;Texas;30464;7917;22547
Castro County;Texas;8062;4373;3689
Chambers County;Texas;35096;19050;16046
Cherokee County;Texas;50845;18788;32057
Childress County;Texas;7041;4707;2334
Clay County;Texas;10752;2731;8021
Cochran County;Texas;3127;0;3127
Coke County;Texas;3320;0;3320
Coleman County;Texas;8895;4310;4585
Collin County;Texas;782341;741325;41016
Collingsworth County;Texas;3057;0;3057
Colorado County;Texas;20874;7804;13070
Comal County;Texas;108472;58417;50055
Comanche County;Texas;13974;3988;9986
Concho County;Texas;4087;0;4087
Cooke County;Texas;38437;15746;22691
Coryell County;Texas;75388;60745;14643
Cottle County;Texas;1505;0;1505
Crane County;Texas;4375;3907;468
Crockett County;Texas;3719;2873;846
Crosby County;Texas;6059;0;6059
Culberson County;Texas;2398;0;2398
Dallam County;Texas;6703;5125;1578
Dallas County;Texas;2368139;2351839;16300
Dawson County;Texas;13833;11579;2254
Deaf Smith County;Texas;19372;15941;3431
Delta County;Texas;5231;0;5231
Denton County;Texas;662614;616855;45759
DeWitt County;Texas;20097;10124;9973
Dickens County;Texas;2444;0;2444
Dimmit County;Texas;9996;6050;3946
Donley County;Texas;3677;0;3677
Duval County;Texas;11782;3883;7899
Eastland County;Texas;18583;7369;11214
Ector County;Texas;137130;124164;12966
Edwards County;Texas;2002;0;2002
Ellis County;Texas;149610;101772;47838
El Paso County;Texas;800647;783238;17409
Erath County;Texas;37890;20339;17551
Falls County;Texas;17866;5832;12034
Fannin County;Texas;33915;9995;23920
Fayette County;Texas;24554;8069;16485
Fisher County;Texas;3974;0;3974
Floyd County;Texas;6446;3009;3437
Foard County;Texas;1336;0;1336
Fort Bend County;Texas;585375;552970;32405
Franklin County;Texas;10605;3274;7331
Freestone County;Texas;19816;6643;13173
Frio County;Texas;17217;13398;3819
Gaines County;Texas;17526;6477;11049
Galveston County;Texas;291309;273394;17915
Garza County;Texas;6461;5018;1443
Gillespie County;Texas;24837;11511;13326
Glasscock County;Texas;1226;0;1226
Goliad County;Texas;7210;0;7210
Gonzales County;Texas;19807;6877;12930
Gray County;Texas;22535;18166;4369
Grayson County;Texas;120877;68718;52159
Gregg County;Texas;121730;105464;16266
Grimes County;Texas;26604;8273;18331
Guadalupe County;Texas;131533;97121;34412
Hale County;Texas;36273;27894;8379
Hall County;Texas;3353;0;3353
Hamilton County;Texas;8517;3034;5483
Hansford County;Texas;5613;3349;2264
Hardeman County;Texas;4139;0;4139
Hardin County;Texas;54635;26472;28163
Harris County;Texas;4092459;4042806;49653
Harrison County;Texas;65631;28842;36789
Hartley County;Texas;6062;2591;3471
Haskell County;Texas;5899;3090;2809
Hays County;Texas;157107;107285;49822
Hemphill County;Texas;3807;2781;1026
Henderson County;Texas;78532;31326;47206
Hidalgo County;Texas;774773;734956;39813
Hill County;Texas;35089;8328;26761
Hockley County;Texas;22935;13796;9139
Hood County;Texas;51182;34371;16811
Hopkins County;Texas;35161;14196;20965
Houston County;Texas;23732;6292;17440
Howard County;Texas;35012;27987;7025
Hudspeth County;Texas;3476;0;3476
Hunt County;Texas;86129;37353;48776
Hutchinson County;Texas;22150;17152;4998
Irion County;Texas;1599;0;1599
Jack County;Texas;9044;4231;4813
Jackson County;Texas;14075;5374;8701
Jasper County;Texas;35710;7790;27920
Jeff Davis County;Texas;2342;0;2342
Jefferson County;Texas;252273;231077;21196
Jim Hogg County;Texas;5300;4378;922
Jim Wells County;Texas;40838;24468;16370
Johnson County;Texas;150934;93769;57165
Jones County;Texas;20202;3000;17202
Karnes County;Texas;14824;9133;5691
Kaufman County;Texas;103350;52897;50453
Kendall County;Texas;33410;13979;19431
Kenedy County;Texas;416;0;416
Kent County;Texas;808;0;808
Kerr County;Texas;49625;29228;20397
Kimble County;Texas;4607;2566;2041
King County;Texas;286;0;286
Kinney County;Texas;3598;2862;736
Kleberg County;Texas;32061;26011;6050
Knox County;Texas;3719;0;3719
Lamar County;Texas;49793;26349;23444
Lamb County;Texas;13977;5914;8063
Lampasas County;Texas;19677;6244;13433
La Salle County;Texas;6886;3694;3192
Lavaca County;Texas;19263;3599;15664
Lee County;Texas;16612;5030;11582
Leon County;Texas;16801;0;16801
Liberty County;Texas;75643;27816;47827
Limestone County;Texas;23384;10846;12538
Lipscomb County;Texas;3302;0;3302
Live Oak County;Texas;11531;0;11531
Llano County;Texas;19301;10581;8720
Loving County;Texas;82;0;82
Lubbock County;Texas;278831;247224;31607
Lynn County;Texas;5915;2560;3355
McCulloch County;Texas;8283;5357;2926
McLennan County;Texas;234906;180051;54855
McMullen County;Texas;707;0;707
Madison County;Texas;13664;4454;9210
Marion County;Texas;10546;0;10546
Martin County;Texas;4799;0;4799
Mason County;Texas;4012;0;4012
Matagorda County;Texas;36702;23336;13366
Maverick County;Texas;54258;49236;5022
Medina County;Texas;46006;17687;28319
Menard County;Texas;2242;0;2242
Midland County;Texas;136872;120048;16824
Milam County;Texas;24757;10848;13909
Mills County;Texas;4936;0;4936
Mitchell County;Texas;9403;5948;3455
Montague County;Texas;19719;8096;11623
Montgomery County;Texas;455746;352175;103571
Moore County;Texas;21904;18221;3683
Morris County;Texas;12934;2791;10143
Motley County;Texas;1210;0;1210
Nacogdoches County;Texas;64524;34546;29978
Navarro County;Texas;47735;22599;25136
Newton County;Texas;14445;0;14445
Nolan County;Texas;15216;10247;4969
Nueces County;Texas;340223;318288;21935
Ochiltree County;Texas;10223;8801;1422
Oldham County;Texas;2052;0;2052
Orange County;Texas;81837;53054;28783
Palo Pinto County;Texas;28111;13995;14116
Panola County;Texas;23796;6492;17304
Parker County;Texas;116927;51349;65578
Parmer County;Texas;10269;4106;6163
Pecos County;Texas;15507;9339;6168
Polk County;Texas;45413;10155;35258
Potter County;Texas;121073;110181;10892
Presidio County;Texas;7818;4654;3164
Rains County;Texas;10914;739;10175
Randall County;Texas;120725;103370;17355
Reagan County;Texas;3367;2919;448
Real County;Texas;3309;0;3309
Red River County;Texas;12860;3121;9739
Reeves County;Texas;13783;11785;1998
Refugio County;Texas;7383;2903;4480
Roberts County;Texas;929;0;929
Robertson County;Texas;16622;4346;12276
Rockwall County;Texas;78337;65775;12562
Runnels County;Texas;10501;6221;4280
Rusk County;Texas;53330;18200;35130
Sabine County;Texas;10834;0;10834
San Augustine County;Texas;8865;0;8865
San Jacinto County;Texas;26384;0;26384
San Patricio County;Texas;64804;52070;12734
San Saba County;Texas;6131;3105;3026
Schleicher County;Texas;3461;0;3461
Scurry County;Texas;16921;11557;5364
Shackelford County;Texas;3378;0;3378
Shelby County;Texas;25448;5234;20214
Sherman County;Texas;3034;0;3034
Smith County;Texas;209714;143428;66286
Somervell County;Texas;8490;0;8490
Starr County;Texas;60968;46515;14453
Stephens County;Texas;9630;5839;3791
Sterling County;Texas;1143;0;1143
Stonewall County;Texas;1490;0;1490
Sutton County;Texas;4128;3352;776
Swisher County;Texas;7854;4903;2951
Tarrant County;Texas;1809034;1785730;23304
Taylor County;Texas;131506;110421;21085
Terrell County;Texas;984;0;984
Terry County;Texas;12651;9530;3121
Throckmorton County;Texas;1641;0;1641
Titus County;Texas;32334;15987;16347
Tom Green County;Texas;110224;92984;17240
Travis County;Texas;1024266;968305;55961
Trinity County;Texas;14585;3320;11265
Tyler County;Texas;21766;4760;17006
Upshur County;Texas;39309;8137;31172
Upton County;Texas;3355;0;3355
Uvalde County;Texas;26405;18118;8287
Val Verde County;Texas;48879;43914;4965
Van Zandt County;Texas;52579;13135;39444
Victoria County;Texas;86793;63683;23110
Walker County;Texas;67861;36928;30933
Waller County;Texas;43205;16573;26632
Ward County;Texas;10658;7686;2972
Washington County;Texas;33718;15682;18036
Webb County;Texas;250304;243797;6507
Wharton County;Texas;41280;20683;20597
Wheeler County;Texas;5410;0;5410
Wichita County;Texas;131500;117473;14027
Wilbarger County;Texas;13535;10572;2963
Willacy County;Texas;22134;14481;7653
Williamson County;Texas;422679;372000;50679
Wilson County;Texas;42918;6068;36850
Winkler County;Texas;7110;5821;1289
Wise County;Texas;59127;16492;42635
Wood County;Texas;41964;10827;31137
Yoakum County;Texas;7879;4938;2941
Young County;Texas;18550;12323;6227
Zapata County;Texas;14018;10719;3299
Zavala County;Texas;11677;7236;4441
Beaver County;Utah;6629;2882;3747
Box Elder County;Utah;49975;34433;15542
Cache County;Utah;112656;94983;17673
Carbon County;Utah;21403;14187;7216
Daggett County;Utah;1059;0;1059
Davis County;Utah;306479;303661;2818
Duchesne County;Utah;18607;5915;12692
Emery County;Utah;10976;2893;8083
